dataset	participant_id	classification	count
dset-camcan	sub-CC121428	ignored	3
dset-camcan	sub-CC121479	accepted	9
dset-camcan	sub-CC121479	rejected	10
dset-camcan	sub-CC121479	ignored	2
dset-camcan	sub-CC121685	accepted	5
dset-camcan	sub-CC121685	rejected	12
dset-camcan	sub-CC121685	ignored	1
dset-camcan	sub-CC121795	accepted	4
dset-camcan	sub-CC121795	rejected	11
dset-camcan	sub-CC121795	ignored	3
dset-camcan	sub-CC122172	accepted	12
dset-camcan	sub-CC122172	rejected	15
dset-camcan	sub-CC122172	ignored	0
dset-camcan	sub-CC122405	accepted	4
dset-camcan	sub-CC122405	rejected	7
dset-camcan	sub-CC122405	ignored	1
dset-camcan	sub-CC122620	accepted	1
dset-camcan	sub-CC122620	rejected	6
dset-camcan	sub-CC122620	ignored	4
dset-camcan	sub-CC210023	accepted	3
dset-camcan	sub-CC210023	rejected	6
dset-camcan	sub-CC210023	ignored	1
dset-camcan	sub-CC210051	accepted	6
dset-camcan	sub-CC210051	rejected	6
dset-camcan	sub-CC210051	ignored	0
dset-camcan	sub-CC210088	accepted	3
dset-camcan	sub-CC210088	rejected	6
dset-camcan	sub-CC210088	ignored	0
dset-camcan	sub-CC210124	accepted	2
dset-camcan	sub-CC210124	rejected	6
dset-camcan	sub-CC210124	ignored	0
dset-camcan	sub-CC210148	accepted	9
dset-camcan	sub-CC210148	rejected	16
dset-camcan	sub-CC210148	ignored	1
dset-camcan	sub-CC210172	accepted	4
dset-camcan	sub-CC210172	rejected	5
dset-camcan	sub-CC210172	ignored	1
dset-camcan	sub-CC210182	accepted	3
dset-camcan	sub-CC210182	rejected	6
dset-camcan	sub-CC210182	ignored	5
dset-camcan	sub-CC210250	accepted	2
dset-camcan	sub-CC210250	rejected	6
dset-camcan	sub-CC210250	ignored	1
dset-camcan	sub-CC210304	accepted	5
dset-camcan	sub-CC210304	rejected	9
dset-camcan	sub-CC210304	ignored	3
dset-camcan	sub-CC210314	accepted	11
dset-camcan	sub-CC210314	rejected	11
dset-camcan	sub-CC210314	ignored	2
dset-camcan	sub-CC210422	accepted	3
dset-camcan	sub-CC210422	rejected	6
dset-camcan	sub-CC210422	ignored	1
dset-camcan	sub-CC210519	accepted	3
dset-camcan	sub-CC210519	rejected	7
dset-camcan	sub-CC210519	ignored	1
dset-camcan	sub-CC210526	accepted	4
dset-camcan	sub-CC210526	rejected	4
dset-camcan	sub-CC210526	ignored	2
dset-camcan	sub-CC210617	accepted	0
dset-camcan	sub-CC210617	rejected	4
dset-camcan	sub-CC210617	ignored	7
dset-camcan	sub-CC210657	accepted	21
dset-camcan	sub-CC210657	rejected	5
dset-camcan	sub-CC210657	ignored	2
dset-camcan	sub-CC212153	accepted	5
dset-camcan	sub-CC212153	rejected	5
dset-camcan	sub-CC212153	ignored	1
dset-camcan	sub-CC220098	accepted	12
dset-camcan	sub-CC220098	rejected	13
dset-camcan	sub-CC220098	ignored	0
dset-camcan	sub-CC220107	accepted	2
dset-camcan	sub-CC220107	rejected	4
dset-camcan	sub-CC220107	ignored	3
dset-camcan	sub-CC220115	accepted	11
dset-camcan	sub-CC220115	rejected	10
dset-camcan	sub-CC220115	ignored	1
dset-camcan	sub-CC220132	accepted	0
dset-camcan	sub-CC220132	rejected	9
dset-camcan	sub-CC220132	ignored	4
dset-camcan	sub-CC220151	accepted	2
dset-camcan	sub-CC220151	rejected	6
dset-camcan	sub-CC220151	ignored	3
dset-camcan	sub-CC220198	accepted	3
dset-camcan	sub-CC220198	rejected	7
dset-camcan	sub-CC220198	ignored	2
dset-camcan	sub-CC220203	accepted	3
dset-camcan	sub-CC220203	rejected	6
dset-camcan	sub-CC220203	ignored	4
dset-camcan	sub-CC220223	accepted	4
dset-camcan	sub-CC220223	rejected	7
dset-camcan	sub-CC220223	ignored	2
dset-camcan	sub-CC220232	accepted	0
dset-camcan	sub-CC220232	rejected	4
dset-camcan	sub-CC220232	ignored	5
dset-camcan	sub-CC220234	accepted	5
dset-camcan	sub-CC220234	rejected	3
dset-camcan	sub-CC220234	ignored	2
dset-camcan	sub-CC220284	accepted	0
dset-camcan	sub-CC220284	rejected	2
dset-camcan	sub-CC220284	ignored	4
dset-camcan	sub-CC220323	accepted	4
dset-camcan	sub-CC220323	rejected	3
dset-camcan	sub-CC220323	ignored	2
dset-camcan	sub-CC220335	accepted	5
dset-camcan	sub-CC220335	rejected	6
dset-camcan	sub-CC220335	ignored	2
dset-camcan	sub-CC220352	accepted	4
dset-camcan	sub-CC220352	rejected	5
dset-camcan	sub-CC220352	ignored	4
dset-camcan	sub-CC220372	accepted	4
dset-camcan	sub-CC220372	rejected	9
dset-camcan	sub-CC220372	ignored	0
dset-camcan	sub-CC220394	accepted	0
dset-camcan	sub-CC220394	rejected	2
dset-camcan	sub-CC220394	ignored	8
dset-camcan	sub-CC220419	accepted	2
dset-camcan	sub-CC220419	rejected	8
dset-camcan	sub-CC220419	ignored	1
dset-camcan	sub-CC220506	accepted	0
dset-camcan	sub-CC220506	rejected	5
dset-camcan	sub-CC220506	ignored	3
dset-camcan	sub-CC220518	accepted	4
dset-camcan	sub-CC220518	rejected	7
dset-camcan	sub-CC220518	ignored	1
dset-camcan	sub-CC220519	accepted	2
dset-camcan	sub-CC220519	rejected	9
dset-camcan	sub-CC220519	ignored	1
dset-camcan	sub-CC220526	accepted	12
dset-camcan	sub-CC220526	rejected	21
dset-camcan	sub-CC220526	ignored	1
dset-camcan	sub-CC220535	accepted	5
dset-camcan	sub-CC220535	rejected	7
dset-camcan	sub-CC220535	ignored	0
dset-camcan	sub-CC220567	accepted	5
dset-camcan	sub-CC220567	rejected	5
dset-camcan	sub-CC220567	ignored	0
dset-camcan	sub-CC220610	accepted	6
dset-camcan	sub-CC220610	rejected	2
dset-camcan	sub-CC220610	ignored	2
dset-camcan	sub-CC220635	accepted	16
dset-camcan	sub-CC220635	rejected	13
dset-camcan	sub-CC220635	ignored	1
dset-camcan	sub-CC220697	accepted	7
dset-camcan	sub-CC220697	rejected	4
