dataset	subject	Cortical Ribbon	Subcortical Nuclei	Cerebellum	Superficial WM	Deeper WM	Deepest WM	Superficial CSF	Deeper CSF
dset-camcan	sub-CC610227	9966	740	2411	7607	2537	1297	1156	512
dset-camcan	sub-CC610285	10662	779	2408	7904	2820	1509	1002	418
dset-camcan	sub-CC610288	11134	793	2690	8621	2919	1483	1328	792
dset-camcan	sub-CC610292	9768	735	2195	7835	2564	1565	732	31
dset-camcan	sub-CC610308	11318	882	2761	8818	2973	1888	1297	712
dset-camcan	sub-CC610344	8237	650	1809	6703	2175	786	1162	709
dset-camcan	sub-CC610372	11379	957	2343	9594	3288	1520	1382	666
dset-camcan	sub-CC610392	10225	717	2148	7261	2522	1515	675	46
dset-camcan	sub-CC610405	9398	716	2530	7109	2258	1372	872	91
dset-camcan	sub-CC610462	10722	809	2256	8628	2806	1361	1064	406
dset-camcan	sub-CC610469	9439	712	2378	7322	2364	1446	1009	331
dset-camcan	sub-CC610496	9908	805	2194	7735	2616	1317	933	212
dset-camcan	sub-CC610508	10576	851	1887	8484	2652	1304	940	213
dset-camcan	sub-CC610568	11665	825	2411	8484	2791	1607	926	125
dset-camcan	sub-CC610575	8983	666	2170	6962	2269	1131	1003	242
dset-camcan	sub-CC610576	9021	708	2270	6834	2158	970	846	267
dset-camcan	sub-CC610594	9570	771	2108	7518	2589	1293	778	205
dset-camcan	sub-CC610614	9586	830	2456	8719	2906	1437	1297	752
dset-camcan	sub-CC610625	10823	781	2231	8099	2844	1882	876	227
dset-camcan	sub-CC610631	10108	813	2204	7266	2259	946	890	328
dset-camcan	sub-CC610653	11552	888	2375	8871	3060	1718	1073	176
dset-camcan	sub-CC610671	10387	703	2241	7564	2203	886	1119	556
dset-camcan	sub-CC620005	9190	758	2098	8474	2839	1252	1212	633
dset-camcan	sub-CC620026	10581	883	2524	8492	2735	1273	967	120
dset-camcan	sub-CC620044	10444	782	2374	8575	3071	1781	1109	462
dset-camcan	sub-CC620073	9297	818	2793	7848	2955	2138	778	37
dset-camcan	sub-CC620085	8957	741	2279	7828	2614	1257	1057	409
dset-camcan	sub-CC620090	8598	653	2017	6727	2399	1424	946	361
dset-camcan	sub-CC620106	9948	707	2309	6995	2218	1125	1015	361
dset-camcan	sub-CC620114	12167	865	2548	9609	3269	1881	1238	391
dset-camcan	sub-CC620118	11918	837	2120	8088	2758	1310	1039	410
dset-camcan	sub-CC620121	10431	809	2561	8614	2878	1536	1089	119
dset-camcan	sub-CC620129	11062	817	2480	8625	3164	2412	1187	297
dset-camcan	sub-CC620152	10805	851	2472	8442	2989	1799	1034	249
